BTC;BTC;Bitcoin;false
ETH;ETH;Ethereum;false
XRP;XRP;XRP;false
BCH;BCH;Bitcoin Cash;false
EOS;EOS;EOS;false
XLM;XLM;Stellar;false
LTC;LTC;Litecoin;false
USDT;USDT;Tether;false
ADA;ADA;Cardano;false
XMR;XMR;Monero;false
TRX;TRX;TRON;false
IOT;IOT;IOTA;false
DASH;DASH;Dash;false
BNB;BNB;Binance Coin;false
NEO;NEO;NEO;false
ETC;ETC;Ethereum Classic;false
XEM;XEM;NEM;false
XTZ;XTZ;Tezos;false
VET;VET;VeChain;false
ZEC;ZEC;ZCash;false
DOGE;DOGE;Dogecoin;false
ZRX;ZRX;0x;false
MKR;MKR;Maker;false
BTG;BTG;Bitcoin Gold;false
OMG;OMG;OmiseGo;false
ONT;ONT;Ontology;false
DCR;DCR;Decred;false
LSK;LSK;Lisk;false
QTUM;QTUM;QTUM;false
AE;AE;Aeternity;false
BTS;BTS;Bitshares;false
ZIL;ZIL;Zilliqa;false
ICX;ICX;ICON Project;false
NANO;NANO;Nano;false
BCD;BCD;Bitcoin Diamond;false
BCN;BCN;ByteCoin;false
DGB;DGB;DigiByte;false
SC;SC;Siacoin;false
STEEM;STEEM;Steem;false
XVG;XVG;Verge;false
BAT;BAT;Basic Attention Token;false
WAVES;WAVES;Waves;false
NPXS;NPXS;Pundi X;false
BTM;BTM2;Bytom;false
ETN;ETN;Electroneum;false
ETP;ETP;Metaverse;false
TUSD;TUSD;TrueUSD;false
HOT;HOT;HoloToken;false
GNT;GNT;Golem Network Token;false
STRAT;STRAT;Stratis;false
REP;REP;Augur;false
KMD;KMD;Komodo;false
SNT;SNT;Status Network Token;false
PPT;PPT;Populous;false
LINK;LINK;ChainLink;false
WTC;WTC;Waltonchain;false
ARDR;ARDR;Ardor;false
WAN;WAN;Wanchain;false
AION;AION;Aion;false
KCS;KCS;KuCoin Shares;false
IOST;IOST;IOStoken;false
DCN;DCN;Dentacoin;false
MITH;MITH;Mithril;false
BTCX;BCX2;BitcoinX;false
RDD;RDD;ReddCoin;false
CMT;CMT2;CyberMiles;false
XET;XET;Eternal Token;false
LRC;LRC;Loopring;false
GXS;GXS;GXShares;false
DGD;DGD;Digix DAO;false
MAID;MAID;MaidSafe Coin;false
INO;INO;Ino Coin;false
ELF;ELF;aelf;false
HT;HT;Huobi Token;false
HSR;HSR;Hshare;true
DGTX;DGTX;Digitex Futures;false
ARK;ARK;ARK;false
QASH;QASH;QASH;false
MOAC;MOAC;MOAC;false
LOOM;LOOM;Loom Network;false
MONA;MONA;MonaCoin;false
NAS;NAS;Nebulas Token;false
FUN;FUN;FunFair;false
BNT;BNT;Bancor Network Token;false
ELA;ELA;Elastos;false
MANA;MANA;Decentraland;false
ZEN;ZEN;ZenCash;false
PIVX;PIVX;PIVX Coin;false
POWR;POWR;Power Ledger;false
MCO;MCO;Monaco;false
DAI;DAI;Dai;false
THETA;THETA;Theta Token;false
RHOC;RHOC;RChain;false
PAY;PAY;TenX;false
NXT;NXT;Nxt;false
WAX;WAX;Worldwide Asset eXchange;false
MGO;MGO;MobileGo;false
POLY;POLY2;Polymath Network;false
XZC;XZC;ZCoin;false
QKC;QKC;QuarkChain;false
KNC;KNC;KyberNetwork Crystal;false
PAX;PAX;Paxos Standard Token;false
OCN;OCN;Odyssey;false
BTCP;BTCP3;Bitcoin Private;false
SYS;SYS;SysCoin;false
NEXO;NEXO;Nexo;false
GAS;GAS;Gas;false
GVT;GVT;Genesis Vision;false
RVN;RVN;Ravencoin;false
IQ;IQ;Everipedia;false
SALT;SALT;Salt Lending;false
STORJ;STORJ;Storj;false
CTXC;CTXC;Cortex;false
NOAH;NOAH;Noahcoin;false
NULS;NULS;Nuls;false
ENG;ENG;Enigma;false
DRGN;DRGN;Dragonchain;false
REQ;REQ;Request Network;false
CVC;CVC;Civic;false
KIN;KIN;Kin;false
SUB;SUB;Substratum Network;false
EMC;EMC;Emercoin;false
VERI;VERI;Veritaseum;false
NXS;NXS;Nexus;false
GRS;GRS;Groestlcoin;false
GTO;GTO;Gifto;false
