BTC;bitcoin
ETH;ethereum
XRP;ripple
BCH;bitcoin-cash
EOS;eos
XLM;stellar
LTC;litecoin
USDT;tether
ADA;cardano
XMR;monero
TRX;tron
MIOTA;iota
DASH;dash
BNB;binance-coin
NEO;neo
ETC;ethereum-classic
XEM;nem
XTZ;tezos
VET;vechain
DOGE;dogecoin
ZEC;zcash
MKR;maker
BTG;bitcoin-gold
OMG;omisego
ZRX;0x
ONT;ontology
DCR;decred
QTUM;qtum
LSK;lisk
BCN;bytecoin-bcn
BTS;bitshares
AE;aeternity
BCD;bitcoin-diamond
ZIL;zilliqa
DGB;digibyte
ICX;icon
NANO;nano
SC;siacoin
STEEM;steem
XVG;verge
WAVES;waves
NPXS;pundi-x
ETN;electroneum
BAT;basic-attention-token
BTM;bytom
ETP;metaverse
TUSD;trueusd
STRAT;stratis
HOT;holo
GNT;golem-network-tokens
REP;augur
KMD;komodo
SNT;status
PPT;populous
LINK;chainlink
CNX;cryptonex
WTC;waltonchain
ARDR;ardor
XET;eternal-token
AION;aion
KCS;kucoin-shares
WAN;wanchain
IOST;iostoken
RDD;reddcoin
MITH;mithril
DGD;digixdao
CMT;cybermiles
GXS;gxchain
AOA;aurora
DGTX;digitex-futures
LRC;loopring
MAID;maidsafecoin
ELF;aelf
HT;huobi-token
MOAC;moac
HC;hypercash
NAS;nebulas-token
QASH;qash
MONA;monacoin
FUN;funfair
DCN;dentacoin
ARK;ark
BNT;bancor
MANA;decentraland
LOOM;loom-network
RHOC;rchain
DROP;dropil
ELA;elastos
MCO;crypto-com
ZEN;zencash
PAY;tenx
POWR;power-ledger
PIVX;pivx
THETA;theta-token
DAI;dai
WAX;wax
NXT;nxt
POLY;polymath-network
XIN;mixin
KNC;kyber-network
